Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
40,Entry short,2025-04-16 09:00,Short,2.0793,46.55,96.791415,-0.78,-0.80,1.12,1.16,-1.68,-1.73,-3.96,-3.96,16
41,Exit long,2025-04-22 00:30,Regime Flat,2.2271,42.79,96.046434,-0.84,-0.88,1.67,1.74,-1.18,-1.23,-4.81,-4.81,20
41,Entry long,2025-04-21 14:30,Long,2.2446,42.79,96.046434,-0.84,-0.88,1.67,1.74,-1.18,-1.23,-4.81,-4.81,20
42,Exit long,2025-04-23 23:30,Regime Flat,2.8823,41.25,95.176125,23.61,24.80,31.5,33.08,-0.47,-0.49,18.81,18.81,61
42,Entry long,2025-04-22 17:00,Long,2.3073,41.25,95.176125,23.61,24.80,31.5,33.08,-0.47,-0.49,18.81,18.81,61
43,Exit long,2025-04-26 03:30,Regime Flat,3.5955,35.84,118.788096,9.95,8.37,17.63,14.83,-3.39,-2.85,28.76,28.76,49
43,Entry long,2025-04-25 03:00,Long,3.3144,35.84,118.788096,9.95,8.37,17.63,14.83,-3.39,-2.85,28.76,28.76,49
44,Exit long,2025-05-02 05:00,Regime Flat,3.6622,35.36,128.735152,0.63,0.49,4.39,3.41,-0.28,-0.22,29.39,29.39,19
44,Entry long,2025-05-01 19:30,Long,3.6407,35.36,128.735152,0.63,0.49,4.39,3.41,-0.28,-0.22,29.39,29.39,19
45,Exit short,2025-05-02 23:00,Regime Flat,3.484,36.86,129.367542,0.82,0.63,3.88,2.99,-0.09,-0.07,30.21,30.21,21
45,Entry short,2025-05-02 12:30,Short,3.5097,36.86,129.367542,0.82,0.63,3.88,2.99,-0.09,-0.07,30.21,30.21,21
46,Exit short,2025-05-04 06:30,Regime Flat,3.3411,39.37,130.19659,-1.47,-1.13,0.99,0.76,-1.49,-1.15,28.73,28.73,8
46,Entry short,2025-05-04 02:30,Short,3.307,39.37,130.19659,-1.47,-1.13,0.99,0.76,-1.49,-1.15,28.73,28.73,8
47,Exit long,2025-05-09 11:30,Regime Flat,3.9385,35.39,128.699274,10.55,8.19,16.65,12.93,-2.38,-1.85,39.28,39.28,46
47,Entry long,2025-05-08 12:30,Long,3.6366,35.39,128.699274,10.55,8.19,16.65,12.93,-2.38,-1.85,39.28,39.28,46
48,Exit short,2025-05-17 12:00,Regime Flat,3.7884,37.71,139.274343,-3.73,-2.67,0.85,0.61,-3.94,-2.83,35.56,35.56,4
