time,open,high,low,close,Volume
1735988400,5.1951,5.2266,5.145,5.1521,41970300.5983000025
1735990200,5.1518,5.1763,5.1109,5.1724,27821587.7912999988
1735992000,5.1725,5.1772,5.1368,5.1576,12059647.6647999994
1735993800,5.1576,5.238,5.1467,5.1865,51744320.1683000028
1735995600,5.1866,5.2273,5.1787,5.2017,17890368.9802000001
1735997400,5.2016,5.2594,5.2005,5.2195,19685665.0898999982
1735999200,5.2196,5.3088,5.2108,5.2873,55185917.4039999992
1736001000,5.2876,5.3023,5.2471,5.2572,31315537.9530999996
1736002800,5.2572,5.2866,5.2196,5.2286,18070108.685899999
1736004600,5.2284,5.2377,5.1308,5.1783,45732493.3030999973
1736006400,5.1783,5.2069,5.1428,5.145,14193897.7135000005
1736008200,5.1455,5.1492,5.1038,5.1436,13202665.5103999991
1736010000,5.1437,5.1746,5.1201,5.145,9505042.8792000003
1736011800,5.145,5.1518,5.115,5.1446,5821475.5274
1736013600,5.1447,5.2649,5.1447,5.2341,15625581.6268000007
1736015400,5.2345,5.2529,5.1644,5.1699,11092252.9690000005
1736017200,5.1698,5.1787,5.1432,5.1506,5579711.2954000002
1736019000,5.1505,5.2224,5.1501,5.2157,5715131.5296
1736020800,5.2158,5.2443,5.1926,5.2336,7452650.0378
1736022600,5.2336,5.2641,5.2081,5.2411,9049379.9807999991
1736024400,5.2411,5.3,5.2323,5.2955,20161314.5212000012
1736026200,5.2957,5.3,5.2502,5.2818,18299406.7487000003
1736028000,5.2818,5.3,5.2675,5.2834,14187578.9638999999
1736029800,5.2833,5.3651,5.2785,5.3442,13630064.8596000001
1736031600,5.3443,5.3454,5.2821,5.3133,8777070.8213999998
1736033400,5.3132,5.3135,5.2753,5.289,5644462.8195000002
1736035200,5.2901,5.3266,5.2653,5.2932,8743849.9958999995
1736037000,5.2939,5.3046,5.2456,5.2672,7364724.6028000005
1736038800,5.2671,5.2694,5.2301,5.2346,6833321.3465
1736040600,5.2348,5.265,5.2149,5.258,7842725.6984000001
1736042400,5.2577,5.2748,5.2,5.2218,15661395.3148999996
1736044200,5.2218,5.2334,5.2,5.2183,12400580.9695999995
1736046000,5.2181,5.254,5.2149,5.2272,5220664.1272999998
1736047800,5.2272,5.234,5.2031,5.2241,7347395.5252
1736049600,5.2241,5.29,5.2117,5.2654,11940025.0675000008
1736051400,5.2654,5.2738,5.2239,5.2269,5538862.7827000003
1736053200,5.227,5.25,5.2175,5.2269,5798267.5426000003
1736055000,5.2269,5.2322,5.2056,5.2135,10228576.5427000001
1736056800,5.2135,5.2348,5.164,5.1667,12076166.3775999993
1736058600,5.1667,5.2036,5.1648,5.1984,4684817.7958000004
1736060400,5.1985,5.2149,5.1777,5.2058,6349885.6371999998
1736062200,5.2056,5.2058,5.1669,5.1712,4635579.0329999998
1736064000,5.1714,5.1811,5.1203,5.1495,20796740.2996000014
1736065800,5.1495,5.1709,5.1436,5.1602,6106194.3198999995
1736067600,5.1609,5.1768,5.1464,5.1534,5200662.4634999996
1736069400,5.1535,5.1819,5.146,5.1519,6272681.6254000003
1736071200,5.1519,5.2161,5.134,5.1896,13632845.7225000001
1736073000,5.1896,5.2146,5.1782,5.1941,8364070.4440000001
1736074800,5.1942,5.204,5.1769,5.1822,5526963.6091999998
1736076600,5.1822,5.2026,5.171,5.195,3865069.6052999999
1736078400,5.195,5.21,5.1722,5.186,7044132.3689000001
